식당이름,카테고리,연락처,구,상세주소,해시태그,별점,별점수,리뷰내용
까망통돼지,"육류,고기",02-438-5730,중랑구,면목로 488 2층 (우)02148,#제로페이,4.5,30,"여긴 치즈계란이 엄청맛있어요 과일도주시고 굿입니다@@얼마전에 상봉으로 이사와서 처음가봤는데 이모님들 엄청 친근하시고 숭늉에 식혜, 과일까지 서비스로 챙겨주시는데 배불러서 다 못먹고 나왔어요ㅠㅠ 엄청 배터지게 먹었고 고기 자체가 저렴한데더 질은 떨어지지않았어요! 이 가격에 서비스면 아주아주 갓성비입니다(알바절대아님) 깨끗하고 청결한 느낌은 아니지만 친근하고 정을 느낄 수 있는 맛집이였습니다.  이 가격에 밑반...@@친절하고 좋네요@@리뷰 조작인듯     리뷰 보고 갔다가 돈만 버리고 오네요 들어가자 마자 바닥이 돼지 기름때문에 미끄럽고 업장 전체가 청결하지 않네요.. 건물도 무슨 오래된 건물… 밑에 리뷰보고 가게 주인이 친절하다고 해서 갔는데, 밥먹다가 가위 하나 더 달라고했는데 사장이 김치랑 콩나물도 자른다고 눈치주고ㅋㅋ  다른 테이블에 어르신들은 고기 잘라 주면서 저희 테이블만 없...@@진짜 맛있어요 같이 간 친구랑도 되게 추억이 많은 곳이라 오래오래 장사하셨으면 좋겠어요@@고기도 맛있었고 서비스도 정말 좋았습니다. 이사가기 전에 가봤어야 했는데 이사  한 후에 맛집을 찾아버려 너무 슬프네요.@@가성비 좋아요 후식 과일이랑 식혜도 주시는데 정이 넘치는 느낌? 근데 고기가 어떤 날은 맛잇고 어떤날은 질기고 그냥 그런 날이있어여 ㅜㅜ@@맛잇어용용 양말 꼭 신고 가야함! @@맛 서비스 반찬 뭐 빠지는게 없음. 별 6개 드리고 싶음. 오늘은 사람도 적당해서 환기도 잘되고 더운 날씨에 시원하게 잘 먹었습니다 따봉!@@@@가격도 합리고 기본상차림도 좋고 제일 놀란 건 저렴한 가격에도 서비스가 정말 최상이었어요 고기 다 잘라주시고 부족한거 다 계속 챙겨주시고 된찌는 리필에 복음밥 치즈도 넣어주시고 너무 친절하셔서 더 맛있게 느껴졌어요 너무 맛있었어요~~!@@상다리 휘어지게 나오는 상봉 오래된 맛집. 정이 느껴져서 좋지만 갈때마다 너무너무 시끄럽고  환기가 잘 안되서 냄새 심하게 베이고 답답해요:(@@맛있음@@@@여기 맛있다고해서 갔어요~ 요즘 코로나로 조심스러웠는데  식사시간 피해서 갔더니 아무도 없었습니다.  주문하고 잠시후에 9명 팀이 들어오더니  빈자리가 많은데도 바로 옆자리에 다른 테이블까지 끌어와서 우루루 앉으시더라구요. 사장님도 아무 제재 없으셨구요.  아무래도 인원이 적은 팀이 움직이는게 낫겠다 싶어 사장님처럼 보이는 분께 저희 자리를 옮기주십사 부탁...@@요새는 찾기 힘든 명성을 입증 하는 집.@@여긴... 제가 할머니 돼서도 오고싶어요... 가격이 미쳤어요.. 그런데 두명이서 2인분 먹는데 너무 배불러서 더는 먹을 수가 없었습니다.. 정말 배부르지만 싹싹 긁어먹었어요ㅋㅋ 사장님, 서빙하시는 분들 모두 친절하세요. 다음번엔 가족들이랑 오려고요... 번창하세요(이미 잘 되는 것 같지만..)@@가성비+맛+양  삼박자가 최고의 조화를 이루는 고깃집 꼭 가세요 두번가세요 저는 또 갈겁니다@@맛있어요, 고기냄새도많이안나고 좋아요@@서비스도 좋고 맛있어요!@@맛은 평타지만 친절도 서비스 만큼은 가히 최고 후식도 챙겨 주는 고기집 @@진짜 가성비좋고 맛있어요 친절하시고 부가음식이 많습니다@@@@4살 아이랑 어른 셋이서 방문했어요. 가게가 신발을 벗고 들어가는 구조이지만 테이블 의자가 있고 2층이라는 단점과 바닥이 살짝 지저분한 것 빼고는 음식, 서비스, 친절함 뭐하나 빠지지 않는 곳인 것 같아요^^ 들어가서부터 친절함이 철철 넘치구 아이수저포크는 뜨거운 물에 헹궈서 주셨어요. 고기는 수시로 오가시며 뒤집어주시고 잘라주시고 부족한 건 계속 챙겨주시...@@맛은 평범하지만 직원분들이 친절하시고 기본적인 서비스 정신을 지니고계신거 같아서 기분 좋은 저녁을 먹을 수 있었어요~!@@친절한 서비스에 기분 좋게 먹고 왔어요~ @@싸고 진짜맛나요@@너무너무 친절하고, 먹을 거리 푸짐하고, 고기도 맛있는 곳@@@@별의 기준이야 다르겠지만. 가격값에서 조금 더 괜찮기에 세개가 적당한것 같다. 자리가 협소한게 흠이며, 요즘 닥트설계로 연기가 없는 고깃집이 점차 보편화 되고 있는 시점에 별 하나를 빼고, 개인적으로 가스버너에 굽는 고깃집은 평범하단 생각에 별 하나를 더 빼었다. 맛은 평범했다.(맛이없다는 소리가 아니다)@@"
묵동할머니떡볶이,떡볶이,02-979-6082,중랑구,공릉로12가길 14 (우)02031,#노포#제로페이,3.0,29,"짜장떡볶이를 시켰는데 양념에서 짜장맛이 별로 안나요.. 매운맛만 감돌고 상당히 애매해서 한입 먹으면 말이 없어지는 맛.   떡 넣은지 얼마 안되서 더 그런듯@@@@@@달달한 짜장 떡볶이가 그리웠어요ㅠㅠ 그리고 치마가 생각보다 되게 맛나요ㅠㅠㅠ@@@@사장님은 친절하신데 떡볶이 맛은 평범합니다. 짜장보다는 기본을 추천@@전 너무 맛없더라구요. @@남자사장님은 자부심이 대단하시지만 별로..@@떡 어묵 다 불었고.. 하.. 왜 짜장떡볶이인지도 모르겠어요.. 그냥 국물 떡볶이인데 맛도 맛이지만 가격도 2000원 정도가 적당한 듯요. 3000~4000 퀄리티는 전혀 아니었습니다. 죄송해요.. 더 발전하여 맛집되시길 응원할게요!!@@인생 짜장떡볶이 만났어요!!  오늘 처음 가봤는데 3000원에 이 맛에, 이 양이라니 사장님 진짜 복 받으실 거예요!   자극적이거나 인위적인 맛이 아니라 재료 본연의 맛이고, 처음에는 양이 부족한 줄 알았는데 마지막에 계란 으깨서 숟가락으로 먹으니까 딱 기분좋게 배불러요!   사실 후기 잘 안쓰는데 사장님도 친절하시고 오랜만에 맛있게 잘 먹어서 감사하다는...@@멀리서 찾아간 보람이 있어요@@@@맛있어요~ 중간맛 시켰더니 딱 좋은 매콤함이었네요! 양이 많지는 않아요~@@유치원생 시절부터 25년넘게 단골인데 할머니 가게 이사가신 뒤 아드님이 물려받고나서 맛이 변하고 양도 적어지고 ㅠㅠㅠㅠ 옛날맛이 안나서 슬픕니다. 뭔가 국물이 밍밍하게 더 물탄 맛이에요  자꾸 양채우실려고 국물 많이 주시는데 이건 원래 국물떡볶이가 아닙니다..!! 본래 며칠이고 졸여서 떡이 다 불지만 국물은 깊은맛이 나는 단짠의 맛이엿다고요ㅡㅠㅠ@@@@중간맛 먹었는데 떡볶이가 짜장인지 고추장인지 어정쩡한데 맵고 짜기만 합니다. 새우튀김은 저급 기성품 느낌이구요, 서비스도 별로입니다.@@맛 없음 -끝-@@리뷰보고 딴데갈까 싶었지만 막상 가보니까 카드도 잘 받으시고 주문도 몇개 안넣어서 그런진 몰라도 잘들어갔고 맛있게 잘먹음@@평범 무난한 떡볶이 남자사장님이  친절해요@@저는 진짜 너무속상한게 여기 25년단골이거든여ㅠㅠ 근데 할머니사장님께서 가게위치 이전하시면서 며느님이랑 아드님께서 배우시면서 하신다고 오셔서 한동안 맛이좀 변하긴했어요 근데 할머니사장님께서 다시 관여하신뒤로는 다시맛있거든여ㅜ 원래는 메뉴가 원조떡볶이하나였는데 아드님께서 매운맛.컵밥.튀김 이것저것 시도하시면서 좀 무리가 있지않았나싶어요 그래도 원조떡볶이는 여...@@야끼만두는 돌덩이 맛은 평범 대실망 이런집  맛집이라 방송좀 하지마라 구리에서 갔는데 시간낭비@@맛은 그럭저럭 괜찮은데... 거기서 일하시는 아줌마가  계속 주문을 까먹더라구요.   떡복이 2인분과 컵밥 두개를 시컀는데 떡볶이를 다 먹을 때 까지고 컵밥이 안나와서 ""왜 컵밥 안나와요"" 라고 말하니 그제서야 ""아? 시키셨어요?"" 이러고나서 부랴부랴 만드시고...   두디어 컵밥이 나왔는데 엥? 시킨건 두개인데 한개만 나왔더라구요. 그래서 ""사장님 저희 ...@@남자 사장님 방송 탔다고 방송부심 개쩜.. 뭔 말은 그리도 많은지.. 스스로 맛있다고 자랑질 먹다 체할거 같음. 다신 가고 싶지 않음.@@호텔조리과 학생리뷰: 친구가 유명하다해서 퇴근후 굳이 여기로 왓는데 원조가 제일맛잇엇다. 그렇다고 특별한맛은 아니고 그냥 국물짜장떡볶이 엿다. 맛은 그럭저럭인데 서비스가 진짜 장난없다    떡볶이 원조와 살짝매운맛 따로시키고 계란 만두 각자한개씩 추가하고 치킨덮밥 2개 시켯는데 떡볶이 나오고 떡다먹은 쯤에 안나오길래 치킨덮밥 언제될까요? 라 문의햇는데 이모...@@@@@@짜장떡볶이 대박@@밀떡이 아니라 쌀떡을 먹었는데.. 양은 예전이랑 거의 비슷해요.. 약간 매콤도 하고 짜장의 달짝지근한 맛이에요.. 좀 많이 시켜서.. 나중에 먹었은데 식어도 맛있어요.. 소스가 짱입니다~ 밥 말아먹어도 맛있을 것 같아요..@@맛은 있는데 3천원에 떡 12개어서13개 만두 계란 넘비싸다 떡볶이가 따뜻해야하는데 식은거주고 ..다시는 먹고싶지않다@@"
양지촌,갈비,02-438-8668,중랑구,망우로 184 (우)02119,#안심식당#제로페이,1.1,13,"주차장 넓어서 좋은 것 빼고 빵점@@차라리 굶는게 나음@@돼지갈비 먹고 배 안불러서 집에 와서 간식 먹은건 처음. 맛도 없고 깨끗하지도 않고 특히 불친절해서 대충 먹고 나옴.  진사갈비 안가지만  그만도 못함.  중랑구 30년 살면서 수원갈비 때부터 값은 비싸도 서비스좋고  맛있어서 갔는데  몇년전부터 별루더니 오늘은 최악이었음.  주인이 경영을 어떻게 하는지 안봐도 알거 같음.  식사 안끝났는데 오미자차 갖다주...@@맛은 평범해요. 검은 머리 젊은 남자 서버가 아주 싸가지 없어서 기분이 좀 더럽네요. 뭐 부탁하면 '여기 있잖아요' 하듯이 손으로 그릇을 툭툭툭. 말 못하는 장애인이면 이해할텐데 그것도 아니고. @@@@가지마세요! 이런집은  안가는게 답!!!@@냉면 맛이 정말 거지 같아졌네요. 여기저기 먹어봐도 그래도 여기가 맛있고 어머니도 아내도 좋아해서 다른데 보다 비싸도 13년 넘게 냉면 먹으러 다녔는데 엊그제 가보고 두번다시 안가기로 했네요. 이따금씩 맛이 평소하고 다른 적은 몇번 있었어도 이렇게 거지 같진 않았는데, 오죽하면 계산하면서 주인이나 주방장 바꼈냐고 물어봤네요. 불친절한건 감수하고 맛있어서 계...@@비추 얻어먹었는데도 비추@@별하나도 아까움 이돈주고 절대로 안먹음@@서비스 최악 맛은 ""이게 24000원 이라고??"" 하게하는 맛@@맛은괜찮으나 서비스는 최악이다 @@서비스 최악..@@맛보다 써비스 최악임 대표적으로 과대평가된 음식점 특히 혼자가면 무시당함. 주인장인지 지배인인지 손님 응대 기본적인 개념이없음 그냥 돈으로 보는 듯@@"
천외천,오리,02-435-3334,중랑구,봉우재로33길 12 1층 (우)02153,#친목모임#코스요리#제로페이,4.5,13,고소하고맛나요국물짱  쐬주6병@@엄밀히 말하면 정통 북경오리구이가 아니라 서울오리구이입니다 하지만 양 많고 맛있습니다 @@@@오리구이는 맛있었는데 오리전골은 별로에요 차라리 오리백숙같은 느낌으로 나오면 좋을텐데 구이따로 전골따로 판다면 전골은 주문안할듯@@진짜 대박 맛집!! 전병에 오리랑 파채랑 춘장넣고싸먹으면 이세상 맛이 아니에요 'ㅇ' 오리탕도 맛있어요 또 먹고싶다@@최고에요 맛도 양도 좋아요@@동네 사시던 분이 하도 맛집이라고 가보라고 해서 마음은 먹고 있었는데 2명이 가서 먹기엔 부담이라 날잡고 약속만들어서 감 예전에 사가정에 있을땐 못가봤지만 새로 옮기고 나서는 좌석이 깔끔하고 단체별로 방에서 먹기 좋게 구획을 나누어 놨음 오리탕국물은 마늘을 많이 풀고 다시다를 좀 친 다음 뼈를 고아낸 듯한 맛이고 이 탕과 오리 겉쪽의 살 부분을 양념을 발라...@@면목동에 있을때도 가족들이랑 자주 갔었어요~ 오리고기 최애맛집! 상봉동 이전하면서 시설이 훨씬 좋아졌네여 룸도 있고 칸막이도 세워주시고.. 좌식도 따로있더라구요 단체모임하기 좋을거같아여@@가격이 좀 부담스러워 보여서 못 들어가다가 친구들이랑 와봤는데 너무 맛있고 코스라 생각보다 너무 배불러서 가성비 괜찮았어요ㅋㅋ 술 먹을 거 다 먹고 인당 2만원 안 나온 듯..? 무튼 반찬도 그렇고 특히 전병이 좋았어요 담주에도 가려구요 ㅋㅋ 예약필수입니다 그때도 못 먹을뻔...@@수유역에 오래 하시다 갑자기 사라져서 슬펏는데 여기서 재개업하셨군요. 친근들도 자주가고 회사 회식도 하던덴데. 한번 가야겠어요. 먹고싶네요. @@오리구이 맛있게 먹구와서 리뷰 남겨요! 벽에 붙어있는대로 춘장소스 찍어서 전병에 싸먹는거 완전 맛있었구~ 원래 치킨도 뼈있는거 싫어해서 순살만 먹는데 오리 다리 너무 맛있어서 잡고 뜯었어여;; 마지막은 오리탕에 칼국수 사리! 크으 사~실은 먹고온지 며칠 됐는데 갑자기 또 생각나서 리뷰 쓰는중... 가게 옮기신다구 그랬는데.. 그 전에 한번 더 가서 정확히 ...@@정말 맛있는데 동네 토박이들도 잘 모르는 맛집이라서 아쉬움. 북경오리+ 오리탕까지 나오는데 진짜 맛있습니다.  양도 많아서 3인 가족이 먹으면 배 터짐. 4명이서 먹기에 적당할꺼 같음. 포장도 가능해서 좋아요 ㅋ @@정말 맛있습니다. 특히 전병이랑 마지막 코스인 탕이 정말 맛있습니다 반찬도 그렇구요.@@
캠프X그릴,"육류,고기",02-6677-0043,중랑구,동일로 929 2층 (우)02005,#애견동반식당#캠핑느낌나는#회식장소#카카오페이#제로페이,4.8,14,"@@진짜 맛있어요!!! 고기 최고....... 쭈꾸미 꼭 드시길.....도심 속에서 캠핑을 즐길 수 있는 곳 ㅎㅎㅎ 댕댕이들 많아서 보는 재미도 있었어요 저도 담에 저희집 멈머 데꼬오려고요!   크리스마스 이브라서 사람들이 많았는지 사장님들 피곤해보이시지만 친절하셔서 오늘부터 단골집 될 예정 ㅎㅎ@@분위기 진짜좋고 강아지동반되서 좋아요. 고기도 맛있고 술이 술술이에요@@맛있고 분위기 좋아요! 테이블이 낮아서 먹기가 쪼끔 불편한 것 빼고는 다 좋았어요! 그리고 귀여운 댕댕이들을 볼 수 있어서 행복하답니당♡´･ᴗ･`♡@@캠핑컨셉 분위기 좋고 가성비도 좋아서 매우 만족 또 가고 싶음 의자가 캠핑컨셉용 낮은 의자여서 자세가 많이 불편하지만 장점이 더 많은듯@@분위기에 놀라고 맛에 놀랐어요ㅠㅠ 이제야 발견하다니..@@분위기랑 맛 다 좋음@@@@고기랑 새우 맛있어요@@@@아니 이집 왜이렇게 잘해요????? 고기가 진짜 대존맛... 베이컨말이 도랏...@@아니.... 그냥 분위기만 좋은줄 알고 갔는데 맛 실화? 목살 살살 녹음, 소세지도 싸구려ㄴㄴ. 편하게 캠핑하는 닉김@@분위기도 좋고, 음식도 맛있네용! 짱짱!!@@굳이 펜션잡고 고기 구워먹을 필요 없는듯 고기 짱맛!@@"
등갈비제작소 상봉본점,갈비,02-437-8588,중랑구,봉우재로43길 13 (우)02153,#제로페이,2.2,5,다른 곳 가세요 혹시나 가신다면 영수증 꼭 확인하세요 맛은 둘째치고... 먹지도 않은거 계산하고 불친절을 당연하다 여길 수 있다면 가세요 별 하나도 아깝네요@@후기 남기기도 아깝습니다 맛있다는 말 듣고 갔지만 6명 번호적고 가라고 이야기하여 40분이상 기달렸지만 자리 두테이블 주기 싫어하여 시간만 소요하고  정말 기본도 안됬습니다 방송에서 질질짜며 선즙필승하는데 참고하시고 방문하세요@@돈쭐 보고 갔는데 여자분은 불친절하고 소금구이랑 양념구이 맛은 최악 떡볶이도 맛 없음 돈줄내렸왔습니다 방송 사기 아닌가 싶다 먹으면 돈을 준다고 해도 다시는 안간다@@맛집입니다. 순두부찌개도 맛있고한데. 바쁘다고 눈치주네요. 아들분은 짜증내고.포장.추가주문도안되고. 화로가작은거 하나뿐이니 테이블 여러개 만석시 바쁘겠죠. 하루한테이블 받고 끝인날도있다면서요. 방송보고 손님오면 좋아해야지 짜증내십니까.  방송보고 한시간 반 걸리는거리 갔습니다.눈치줘서 불편하게먹고왔네요. 아줌마 없을때 손님이 바로앞에서불러도 아들분은 쌩까시...@@@@
통큰소무한리필 사가정점,"육류,고기",02-435-9297,중랑구,면목로 352 1층 (우)02210,#고기뷔페#소고기무한리필#친목모임#한우무한리필#회식장소#제로페이,2.9,7,@@고기맛도 음식구성도 괜찮아서 재방문하던 사람입니다. 그런데! 요즘에 코로나 감염자 1000명 돌파하고 있는 상황에 입구에서 온도체크도 안하시는데 손님한테 리필바 이용하실때 마스크착용하라 위생장갑 사용하라고 주의도 안주는 곳입니다. ( 다들 맨손으로 공용 집게 사용) 저는 고기리필하는곳 근처에서 앉았는데 사람들 리필할때마다 마스크착용안하고 저희자리쪽지나서 직...@@상상이상의 맛. 식감도좋고 고기상태도 최고에요. 맛도맛이지만 입안에서살살녹네요. 번창하세요. 재방문100%@@가성비 논하기 약간 애매할수 있는 집.@@지나갈때마다 사람들이 많아서 들어갔다가 낭패본곳; 이렇게나 고기가 질길 수 있구나 고긴데 맛이 없을수가 있구나 느끼고 온 곳@@너무 맛있어요 고기에 냄새도 안나고 맛있네요  우리 아들도 고기 많이 먹고 왔네요 된장찌개도 계속 먹을수도 있고 최고에요 ^^@@'무한리필'이라 고기의 질에 큰 기대를 안했는데. 그날 고기 컨디션이 별로였나 어땠나 모르겠지만...　　 고기는 질겼고 결정적으로 고기가 '맛'이 없어요... '무(無) 맛'. 이랄까...　　 샐러드바에 있는 잡채는 쉬어있었어요...　 맛 필요없고 그냥 '고기'로 배채우는거에 만족한다면 가보셔도 될듯...@@
강원도동강오리,오리,02-492-6717,중랑구,용마산로115길 10 (우)02164,#친목모임#제로페이,4.0,12,@@여기 진짜맛있어요. 한달에 한번 방문해야하는 맛집!!@@미나리 무침과 함께 먹는 오리고기구이 맛 최고죠@@맛나네요@@... 맛있다 !! 오리주물럭으로 이런 맛을 낼 수 있다니.. 평소에 오리주물럭을 그렇게 즐기진 않지만. 여튼 먹어본 오리주물럭중 감히 최고라 할 수 있겠다.@@일산에서도 소문이나서올정도 통마늘강추@@친절하지만 고기 식감이 좋지 않았고 밥도 별로였어요 탕도 별로였고요@@@@오리가 색다른맛이고 오리탕이며 돌솥밥도 최고였어요 @@5점 만점 기준으로 맛 : 4점  양 : 3.5점 친절도 : 4점 이용편의성 : 1점   ㅡ 테이블의 독립성 보장이 전혀 되지않고     심하게 따닥따닥 붙어 있음. 그 결과      테이블 드나들때마다 너무 불편함.     다먹고 나갈때는 식사 중인 다른 손님께      직접 양해를 구하고 나가야했음.      그런 일은 직원 분들이 대신 해줬어야    ...@@음식은 맛있었으나 매장안이 너무 시끄러워서 앞사람과 얘기를 할수가 없음. 심지어 자리를 다 붙여놔서 옆테이블남자와 팔꿈치 맞대고 먹음..누가보면 일행인줄....냅킨 가지러 옆테이블가서 가져와야함. 이시국에 외식하러간 내잘못도 있지만 돈독올라서 테이블 다 붙여놓고 장사하는 사장님보니 다시는 가고싶지 않음..@@미나리무침이랑 먹으면 맛있어요@@
고기를품다 중화점,삼겹살,010-6368-2274,중랑구,중랑역로 23 1층 (우)02110,#정육식당#제로페이,4.3,15,양이 좀 적긴한데 그래도 너무 맛있어요 ㅠㅠ@@150g이 이렇게 작다니 -1 밑 반찬이 별루 -1 밑 반찬 떨어져도 그냥 보고만 있음 -1 가격 올랐어요 -1 지저분하고 좁아서 코로나 걱정 많이됨 -1 0점이야 되는데 아쉽네요@@중화동 최고 맛집임  고기맛이 변하지 않고 맛있음 @@중화동에서 최고 고기집아닐까 싶네요 고기질이 너무 좋고 분위기도 좋고 밑반찬도 잘나와요@@가격도 착한데...고기 맛은 100점! 숨은 찐 맛집 입니다~~~@@집근처에 편하게 가기 좋은 고기맛집@@소고기 살살 녹는다  담엔 돼지도 도전!!@@@@3살 아들이랑 8살딸이랑 둘이서만 소고기 3인분 먹어버렸어요..ㅠㅠ 호로록호로록 너무맛있쪙@@사장불친절@@사모님이 정말 친절하고 구수한 고기 맛이 정말 좋았어요. 감사합니다.@@사장님이 아주 친절하고 맛있는 고기 맛을 잊을 수가 없어요. 잘 먹었습니다.@@눈꽃살과 순두부 맛은 좋았는데 삽겹살 맛이 타집보다 뛰어나진 않아요@@고기 맛있게 먹고 왔네요 ㅎㅎ@@항상 잘먹고있습니다 예전에 처음갔을때 사장님이 고기에 대해 설명도 잘해주시고  좋았습니다  가끔 우리가족. 3명 회식장소로. 맛있게 잘먹고있습니다 오늘도. 갔다왔네요.  오늘은. 음주없이. ㅎ  그런데. 개인적으로 일반쌈장도 있으면좋겠습니다 기본제공으로. 나오는. 장 과 젓?은. 제가 못먹겠더라고요  생선맛이나서요.   수고하세요@@
통큰소무한리필 상봉직영점,"육류,고기",02-433-4310,중랑구,망우로 316 이지팰리스 2층 (우)02148,#고기뷔페#소고기무한리필#정육식당#제로페이,4.0,7,"환기가 안돼서 아쉽네요 창문 열어도 연기가.. 무한리필집에서 소고기 퀄리티는 의미없는거 같고 희한하게 가브리살이 맛있었네요 소 전문인데..ㅎ@@평일 점심쯤갓는데 가게가 엄청크고 넓어서인지 손님은 많지않아서 좋앗어여 소고기도 맛잇지만 돼지고기도 맛잇어서 깜짝놀랫네여글고 샐러드바 부추잡채 넘맛잇어여 당분간 외식은 여기로 정착할듯용@@ 인테리어나 깔끔한 정도, 넓이는 여기가 훨씬 좋은데  맛이나 메뉴등은 사가정점이 선택지가 넓고 더 나은듯 싶다.@@굳@@주말이라   사람많은거 이해하지만   직원이 몇명안되다보니 직원호출해두 감각무소식입니다  환기가 안되다보니 천장이구 구석구석  냄새에 절어있습니다 에어컨있지만  연기 빨아들이는기능이 아니다보니 답답해서 오래있지두못합니다 셀프존에두 그닥이었구요   앞사람과 대화도안되구   대기하시는분들  공간없다보니 계산대앞에 우르르 서있구  다시는 가고싶지않습니다   @@짱맛@@재료 질이 좋아요. 고기야 잡내없이 부드럽고 다양해서 좋은데, 뷔페음식들이 정말 맛있어요. 원래 이런 무한리필집에서 닭봉이나 잡채들은 맛없잖아요 ㅋㅋ 큰 기대감없이 한입 베어물었는데 생각보다 넘 맛있더라구요 김치랑 백김치도 입가심 해주고 닭뼈 다 먹은 것들도 까맣지 않고 신선해보이네요. 어떻게 잡내가 안나는지 신기할 정도. 오픈주방인데 주방장님들이 열심히 ...@@"
고기를품다 사가정직영점,"육류,고기",070-4045-9736,중랑구,면목로48길 17 1층 (우)02210,#정육식당#제로페이,4.7,16,"직원분들 너무너무 친절해서 좋았어요 !! 고기도 맛있었구요 ㅎㅎ@@제가 먹어본 돼지고기집 중 1타 입니다. @@아니 자기가 예약시간에늦어서 자리가없는데 왜가게가 자리가없어서 죄송하다고 해야되지? ㅋㅋㅋ 예약시간에 늦은거가 이미매너없는건데 거기서는 할말없으니 돌아와서 리뷰에다가 자기잘못을 자랑해서 쓰네 ㅎㅎ 글보는 내가 챙피하다 @@목살이 맛있는집이 정말고기집인대 ~여기목살 육즙이 펑펑~부들부들 와사비와먹음 환상적인맛~삼겹살은 입안에서 살살녹아버린다ㆍㆍ밑반찬구성도 알차다  ~순두부찌게는  어지간한 순두부전문점보다 월등히 맛있다~사가정맛집인정  ~고기가땡길때는  무조건 고기를품다로 가즈아    ~~^^@@깔끔한 분위기, 친절한 사장님, 가성비 좋고 맛있는 고기.@@친구가 맛있다고 해서 솔직히 기대안하고 갔는데  저희말고 2팀이 대기중이여서 다른데 가자고 했는데 다른음식점 갔으면 후회할뻔요 캬~~~~ 진심 맛있습니다 드셔보시면 압니다  맛있게 잘먹었습니다@@와 처음가봤는데 이런곳도있네요 숙성고기라길래 고기를잘모르는 저한테는 생소했지만 사장님이 친절하게 설명해주셔서 맛있게만 먹었습니다 초벌도해주셔서 그 자리에서 부담없이 바로 먹었네요 자주올게요~^^@@이 동네에서 이만큼 퀄리티의 고기는 못먹어요 장담합니다 사장님도 너무 친절하시고 무엇보다도 맛이 너무 좋습니다  항상 먹던 고기라고 생각할 수 없는 맛 너무 맛있게 잘 먹었습니다!!!!@@고기는 이지역에서 만큼은 최고라 생각합니다. 서비스도 좋고 앞으로 자주 갈듯~ 사가정 내최애고깃집~!!@@사가정 가면 꼭 들리는 맛집 입니다 처음에 삼겹살 먹을때 사장님이 굽는 방법 알려주셔서 뭘 삼겹살이 똑같지 하고 먹었는데~ 왠걸 씹을때 입안에서 터지는 육즙이... 그이후루 삼겹살은 이집만 다니며 다른 메뉴들도 다 먹어봤는데 소고기도 맛있구요~솔직히 저가격에 소고기 파는곳도 없지만 가성비 뛰어나다 생각합니다ㅎㅎ 하지만 개인적으로 삼겹살 육즙 빠지지 않게 잘...@@초벌해주셔서 편하게 먹고왔습니다! 초벌 주시고서도 계속 봐주시고 신경써주시는게 좋았어요 찬도 말안해도 챙겨주시고 고기도  맛있었지만 친절해서 더 기분좋게 먹었네요@@고기를 먹었는데 진짜 맛있어요!! 다음에 또  먹으러 오겟습니다직원분들도 친절하시네요ㅎㅎ@@고기에 곁들이는 소스로 갈치속젓, 멜젓, 와사비가 나오고 곁들이는 찬에 마늘, 묵은지, 파채, 명이, 순두부가 나오는데 소스가 하나하나 다 맛있고 참숯도 아끼지않고 넣어서 향이 잘 뱀. 순두부는 맛이 뭔가 인공스럽?긴 한데 순두부맛집 간 건 아니니까..ㅎㅎ 아직 별점이 너무 높지않아서 정말 다행임 사람많아지면 자주 못가니깡@@고기 좋아해서 세미? 정육식당처럼 새로 생겼을때 가봤는데 산삼주?인삼주? 서비스로  주셔서 이 가게는 됐다 했는데 고기 맛이.. 모르겠네요; 두번 가봤는데 정말 모르겠어요@@맛있다@@맛있고 서비스도 좋았어요 ^-^@@"
작은부엌,이탈리안,0507-1311-9160,중랑구,면목로 361 (우)02220,#데이트코스#분위기좋은#카카오페이#제로페이,4.3,9,"성공 하시는것 시간 문제 이십니다.   친절. 맛. 정성 그리고 합리적인 가격까지.   감사합니다. 잘 먹었습니다. @@리조또나 파스타는 평범했고 피자가 맛있었어요! 피자 도우가 페스츄리라서 바삭하고 좋아요~@@사진을 잘 못찍어서 양해좀요ㅎㅎ.. 음식 전체적으로 평타이상으로 너무 맛있게 잘 먹었고 사장님도 친절하시고 가게 분위기도 좋아요. 첫번째 사진 메뉴 이름이 기억이 안나는데 아무튼 저거 맛있습니다 국물 해장느낌나요. 그리고 와인도 싸고 맛있어요ㅎㅎ@@투움바 로제 스파게티.  베이컨 허브갈릭피자.  맛있습니다.  샹그리아 와인은 절대 비추천합니다.  콜라와 와인 과일을 섞어주는건데 차라리 그냥 와인을 드세요.   @@진짜 최고의 피자 사장님 정성과 친절에 감동 여긴 무조건 가야함 죽기존에 반드시 가야함ㅠㅠㅠㅠㅠㅠㅠ 담에 시간날때마다 와야지 핵꿀맛 나만 알고 싶은집 ㅠㅠ@@솔직히 평범합니다@@패스트리 도우 피자도 좋고,파스타도 맛나고 좋아하는 동네맛집@@피자도우가 패스츄리라 맛있었어요@@음식이 깔끔하고 분위기도 나름 괜찮네요~@@"
