식당이름,카테고리,연락처,구,상세주소,해시태그,별점,별점수,리뷰내용
연희대공원,테마카페,,서대문구,연희로11가길 42 (우)03707,,2.9,12,"인테리어 훌륭하고 eert 차도 맛있고 식기 구경하는.재미도 있고 좋았어요 공간도 여유있고 조용해서 좋았습니다@@카페는 너무 이쁘고 음료도 너무 맛있었습니다!!! 근데 그리너 가든에서 식물을 구매 했는데 손잡이 봉투가 100원이라고 하셔서 계산을 했는데 쓰시던 버거킹 봉투에 넣어 주시더라구요?!! 손님한테 이런 봉투를 주는것 부터가 조금 그런데 100원까지 받는건 아니지 않을까요… 다른 분들께는 이런 일이 없고 봉투를 따로 구매해두시면 좋을거 같습니다! @@Good : 차의 향과 맛이 훌륭함 누가 마셔도 호불호 없이 즐길 것 같음  카페가면 커피위주로 마시는데 여긴 차가 나음  Bad : 방문 당일 바로 옆에서 공사해서 시끄러웠음  2층에 방이 2개있고 그 중 흰 색으로 디자인된 방 벽지 갈라져있어 인테리어에서 아쉽  총평: 의외로 좌석 수가 많지 않음 2층 방의 인테리어가 다소 아쉽  차맛은 가격 생각해도 ...@@남자직원 왜이렇게 불친절하세요?ㅡㅡ 가족끼리 와서 왜 눈치보면서 차를 마셔야 하는지 모르겠네요. 절대 안가요 이제@@주택을 개조한 카페로 다양한 차 종류를 판매하고 있다. 차를 선택하면 설명을 잘 해주신다. 차는 맛이 좋은편.  1층은 홀, 정원, 숍, 전시장(뒷뜰)으로 사용되고  2층은 룸과 배란다로 카페보다 어릴적 친구의 집 방에 앉아서 차를 즐기는 감성에 가깝다. 테이블 수는 많지 않지만 여유로움이 좋았음.@@동물을 정말로 좋아한다면 '대공원'이라는 이름을 쉽게 쓸 생각을 했을까요..?@@반려동물도 함께 올 수 있는 점은 좋으나, 인테리어가 예쁜 곳이라 일반 손님도 많이 방문한다. 하지만 털 알러지가 있는 사람도 방문하는 거 같던데, 코로나 조심해야하는 상황인데도 마스크를 벗고 어찌나 재채기를 하던지... 직원들이 신경 써주면 좋을 텐데 주택 개조한 곳이라 그런지 내부 곳곳에 신경을 쓰기가 어려운 모양. @@@@노트북, 공부, 작업 모두 안된다고 하네요. 차라리 노트북 사용시 2시간마다 음료를 시켜야한다고 하는게 낫지 왜 카페에서 손님의 행동을 제한하는지? @@2020.06.28 일주회 @@개가 있으면 와볼만한데 그냥 볼것도 즐길것도 없고 진정성은 유명한데 맛은 평범@@주택을 개조한 형식의 카페와 상점들, 정말 특이하고 구경하기 딱 좋아요@@"
원조봉순게장,"게,대게",02-3147-2333,서대문구,경기대로 26-26 더스타일하우스디센트럴 201동 B106호 (우)03737,#제로페이,4.7,12,"앞으로 게장을 밖에서 먹는다면 이곳에서만 먹겠어요@@음식이 전체적으로 맛있음. 간장게장 약간 얼어있어서 별루였지만 다음에 또 갈 의향이 있음@@@@가성비있게 게장먹고싶을때 자주가는 곳이에요. 반찬들이 간이 좀 쎈편이라 아쉬워요. 새우장, 간장게장 다 괜찮아요. 알배기랑 일반 게장이랑 둘다 먹어보았는데 비슷해요. 늘 친절하게 응대해주셔서 좋습니다. @@남자친구랑 게장이너무먹고싶어서 갔는데 반찬도 너무맛있고 양념게장간장게장새우장 다 너무너무 맛있었어요!!!!! 너무 행복한하루였어요!!!!@@친절하고 런치도친절함 디너도좋음@@맛읶어용~~@@맛있어요@@신선하고 맛있어요 기본에 충실한 곳 사장님도 친절하세요@@맛있어요@@게장정식과 전복해물 뚝배기를 주문했습니다. 정식 중 전복이 가장 깔끔한 맛이었고 간장게장은 살짝 아쉬웠습니다. 가장 아쉬웠던 부분은 근처 빌딩에서 확진자가 8명이나 나왔는데도 불구하고 일하시는 분들이 아무도 마스크를 착용하지 않았다는 부분입니다. 많은 분들이 가격대비 훌륭하다고 말씀하시는데 저는 개인적으로 가격대비 아쉬움이 남는 곳입니다.@@짜지않고 양도 많고 맛있었어요~@@"
맥도날드 연세대점,패스트푸드,070-7017-6475,서대문구,연세로 33 (우)03788,,2.8,39,"@@느리고 나오는 순서도 뒤죽박죽...@@다 좋은데.. 얼음이 가득해서 쪽쪽 빨면 사라진다! 말곤 친절하고 죠음@@지금껏먹어본감튀중에젤맛없다@@아이스라떼 라지를 시켰는데 컵에 얼음양이 90%…^^ 진짜 너무 한거 아닙니까? 전화하려다 참음  여기 일주일에 한두번은 꼭 먹는데 맛은 그때그때 천차만별입니다. 운 좋게 튀긴지/만든지 얼마 안 된거 먹으면 당연히 맛있죠.  근데 운 안 좋으면 차갑게 식은 언제 만든지도 모르겠는 음식 먹으실거예요. (어디든 똑같다고 생각…) 부러우실 필요 ㄴㄴ ++ 맥딜리...@@@@나름 굳@@감자튀김이 미쳤음 연세대 학생들이 부럽다.@@굿@@직원이 일을 못함. 뇌좀 챙기기 바람.@@@@Filthy. Fruitflies everywhere (photo) . Secund floor always stinks strongly of sewage. 불결한. 사방에 초파리 (사진) . 2층은 항상 하수 냄새가 심하게 난다. @@여기 왓는데 너무 열받아서 본사에 항의이메일까지 넣었네요@@여기 맥도날드 멋대로에요 같은곳에서 시키는디 어느날은 배달되고 어느날은 배달안해주고 그래요@@맥모닝만 먹는데 맥모닝은 항상 완벽함@@2020.07.05 배달시켰는데 후렌치후라이에 소금이 하나도 없어요.. ㅠ  2021.03.20 와 맥딜리버리 시킨 지 1시간 40분 넘었는데도 안 오네요  주문한 지 1시간 됐을 때 전화하니까 출발 벌써 했다그러더니 그 이후로 45분만에 옴 출발했다고 한 지 45분이 넘었는데 햄버거가 따뜻함.. 1시간 45분만에 받은 맥딜리버리 후기;;;;;  2021....@@상하이 스파이시버거 먹었는데 와.... 눅눅함이 군대 px에서 사먹었던 냉동 햄버거와 어찌 그렇게 똑같은지 오랜만에 군대 생각나서 좋았네요 ㅎㅎ 소중한 추억까지 되살려주는 맥도날드 연세대점 추천합니다!!@@2년 뒤 다시 가보니 먹을만해졌네요.  ============  아니 어떻게 이렇게 맛이 없을 수 있지.. 슈비버거 시켰는데 피클보다 얇은 쇠고기 패티 실화냐... 진짜 돈 아깝다  심지어 감자튀김조차도 쭈굴쭈굴 하니 핵노맛...@@pls never die, youre my only hope@@한때 불친절했으나 직원 바뀌고 지금은 매우 친절하다@@시킨게 제대로 안옴… ㅡㅡ 아무리 바빠도 정신줄좀..@@햄버거를 잘못 줬어요 집 와서 발견했네요,,@@샵 골목에 있는 라이더들 정리좀 해주세요 어케 맥도널드에 온 고객차를 민원넣어서 주차 딱지 끊게 하는게 말이 됩니까 그것도 토요일 아침인데요 인근샵에서 거기 주차하면 라이더들이 밥이라고 하더만 햄버거 하나 먹는데 얼마나 걸린다고@@@@@@전국에서 제일 ♪♩♩♪같은 맥도날드 지점 @@비프스낵랩에 양상추가 레알 하나 있어요 ㄹㅇ 하나 그냥 하나 딱하나 엄지손톱 반만한거 부실하네요? 좀 넉넉히 넣어주ㅛㅔ요, 예?@@벌레가 나왔어요.................. @@직원분들 다 친절하십니다. 진심이에요 바쁘신데 노란머리직원분이랑 키크시고 2층에서 분리수거 해주시는분도요!@@노란머리 알바하시는 분 엄청 친절해요 :)@@"
난향,중화요리,02-322-6900,서대문구,신촌로 67 거촌빌딩 지하1층 (우)03787,#안심식당#상견례#점심식사#친목모임#코스요리,3.4,13,"나쁘지 않은 코스메뉴@@사장인지 매우 불친절함 남자@@@@짬뽕이 맛있고 군만두도 특색있고 맛있음.  홀에서 모임하기 좋은데... 코로나라 모임가지기 어려워 아쉬움. @@영업 시간 곧 종료 되면 간판을 끄셔야죠. 손님들어왔는데 곧 영업끝나서 주방 마감을 다했고 어쩌고. 영업시간은 10시까지라고 적어놓고 9시 전에 들어온 손님받기 싫은티 너무 내시네요  @@여기 차돌박이삼선짬뽕 진짜 맛있어요..돈이 아깝지 않은 맛과 양..@@탕수육, 팔보채, 볶음밥 등 테이크아웃해서 먹었습니다. 근데 탕수육 그래도 24,000인데 이사진이 첫 뚜껑 열었을때에요....... 양 진짜 너무너무적어서 놀람. 맛은 잇을수 있어도 양이 진짜 예전에 먹었을때보다 넘 적은거같아요ㅠㅠ 왜이렇게 변한건지 모르겠네요... @@호텔분위기의 퀄리티있는 중국요릿집. 짜장, 짬뽕, 잡채밥 등 식사메뉴도 훌륭해요.@@개노맛@@@@가격대가있지만 호텔같은분위기랄까^^ 땅콩소스 추천~~^^@@@@@@"
알키미스타,양식,02-6397-7050,서대문구,거북골로24길 27-8 1층 (우)03680,#데이트코스#분위기좋은#피맥#제로페이,4.1,12,"커피가 맛있고 치즈케익도 좋아요 책 읽고 작업하기도 좋아요@@@@맛있어요! 이 동네 사람들 복받았네 싶고, 자주 올 생각으로 멤버십 등록도 했답니다. 편안하고 좋아요:) 핫플은 아니지만 핫플이 아니어서 더 좋습니다. 동네카페로 완벽.@@야외에서 음료 마시다보면 이동네 귀여운 댕댕이들 구경하는 재미 쏠쏠ㅠ_ㅠ 사랑둥이 댕댕이들 보러 또 감니다…@@@@팁! 잘생긴 사람이랑 가서 칵테일 먹으면 재밌음@@불광천변의 무난한 카페.@@다 좋습니다.. 다만 매장 음악을 너무 시끄럽거나 정신 사나운걸로 선곡하는건 좀 피해주셨으면..@@다 좋은데 음악이 너무 일관성없고 시끄러워요 ㅠㅠ 그냥 카페음악같은거 틀어주면 더 좋을듯@@음악이 너무............그냥 유투브 음악 틀어주세여@@너무 좋은뎅... 주차도 가능하고 커피도 맛있고 칵테일도 판매해서 늦게까지 해서 좋아요@@이곳의 매력은 칵테일에 있음  —-  별점수정   2018.5(5개) -> 2018.11(1개) -> 2018.11(4개)   분위기에 비해 아르바이트생이 아쉬움. 예전 사장님이 있을때가 서비스가 좋았음. 커피맛도 떨어졌고, 특히 최근에 녹차라떼 먹었는데 최악. 요즘은 해질녘부터 남자아르바이트만 있는 것 같은데 특히 서비스마인드가 안 좋음.   —-  그래...@@"
비하인드리메인,카페,02-3141-7212,서대문구,연희로11라길 10-6 (우)03703,#데이트코스#독립서점#제로페이,3.6,14,"커피는 애매 키오스크는 언제나 맛나요@@프렌치토스트 너무 맛있어요 변하지않는맛@@조용하고 좋았습니다. 후기에 불친절하다는데 그냥 평범한 CS입니다. 프렌치토스트 맛있네요.@@다양한 프렌치토스트가 있고 커피도 괜찮아요! 프토 러버인데 역대급 프토라고 생각합니다 크크@@토스트 짱맛@@완전 불친절 여종업원@@@@협소하지만 운치있고 좋아요@@가격이 조금 비싸지만 깔끔하고 맛있습니다. 디저트 맛있어요@@키오스크 최공@@장점: 사진찍기 좋은 고즈넉한 분위기. 그게 끝.  단점: 커피 산미 강하고 구수한 맛 적어 라떼로는 별로.         공간 부족. 서비스마인드 부족.           대놓고 손님 수가 많다고 싫어하는 가게는 처음이네요. 성인 수가 6명이었는데 빈 자리가 많았음에도 단체손님은 안받는다고 문전박대하네요. 더운날 다른 가게에 또 가기 힘들어 저희가 끼어앉...@@가야는이유 : 작지만 분위기 좋은 공간, 키오스크토스트를 많이들 먹으러 온다 안가는이유 : 아메리카노 맛은 사실 그냥 그랬고, 좌석이 많지 않아 발길 돌리는 사람도 많았다  합정 비하인드와 같은 곳, 어쩌다가게 같은 곳이라 위치를 잘 찾아야한다@@@@날씨 좋을 때는 야외석 추천. 아몬드 허니 크림치즈 키오스크 프렌치 토스트 맛있었다. 바닐라라떼 아이스도 괜찮았지만 시킨 것 중에 샹그리아가 가장 마음에 듦. 예쁜 곳.@@"
스탠바이키친,양식,02-365-6353,서대문구,연대동문길 49 (우)03721,#제로페이,4.6,48,"성인 남성 기준으로 양은 조금 부족한 것 같지만 맛은 정말 맛있습니다. 추천해요.@@@@@@@@반미는 그냥저냥 괜찮았는데 연어 샐러드 경악 그리고 매장이 청결하지 않아보이고 어수선함 별로임 별점 왜케 높은지 모르겠다~@@@@양이 너무 적고 4,5점 정도는 아님 솔직히…누가 사주면 먹을 정도@@바삭, 쫄깃 바게트 맛있음. @@맛있음 특히 감튀맛집인듯 세트시키는 것 왕추천 다만 가격은 조금 비싼 편이지만 그만큼 재료가 듬뿍 들어가는 것 같음@@Food is alright but too expensive.@@맛은 있어서 시켜먹었는데 배달주문실수가 너무 잦네요 저번에는 아보카드샐러드에 아보카드가 없더니 이번에는 아예 누락되었네요 심지어 주문확인까지했는데... 아보카도도 그렇고 이번 주문누락도 그렇고 다시시켜먹을줄 알고 다음에보내주신다는데 이젠 다시 안시켜먹으려구요... 직접 매장가서 먹지 않는이상은..시켜드시지마세요@@맛있어요! 근데 가격이 자주 오르는거 같아요ㅠㅠ @@@@근처 살아서 거의 매주 주말 한끼로 먹는듯 최애는 모짜렐라토마토! 학교다닐때는 로드 갔었는데, 여기가 샌드위치 빵이 맛있는듯해요@@맨날가고싶어요 이대앞 살고싶다@@아보카도랑 연어 최애에요,, 맨날 먹고싶어요@@샌드위치 진짜 맛있고 감자튀김도 수준급@@The sandwiches here are full of flavor. They are a delight to eat. I love that they have sandwiches with flavors from several parts of the world; Vietnam, India, America and more.  I grew up on sourdo...@@반미가 맛있음.@@연어 맛있고 단호박 리코타 맛있어요@@유명한 맛집에서 심한 불친절은 너무 오랜만에 겪어 기분이 많이 안좋네요. 화요일 저녁 주문받으시던 앞머리없고 모자안쓰신 분 피곤하신지 짜증나신건지 모르겠는데 주문하는데 신경질내시듯 하시고 음식 가져다주실때 트레이를 밀어버리시듯 주시니까 너무 당혹스러웠어요. 홀에서 먹으면서 보는데 주문받으시던 다른 스태프분들은 친절해보였습니다.@@@@@@와.....@@집 앞에 있는 몇 안 되는 끼니 해결 장소 중 하나. 주기적으로 먹는데 괜찮다@@너무 맛있다구요♥️♥️@@@@베트남에서 먹은 반미보다 더 맛있어요 @@기본blt도 이리 맛있다니 빵이 진짜 예술이에요@@첫 방문 후, 연속 이틀 방문할 정도로 맛있어용@@@@존맛존맛@@좀 비싸지만 존맛이다 그중 아보카도베이컨 샌드위치가 제일 맛있다@@"
벤치커피스튜디오,카페,02-365-5999,서대문구,연세로2마길 14 2층 (우)03780,#감성카페#핸드드립전문점#제로페이,4.8,27,"사장님 엄청나게 친절하고 미소가 밝으셔서 오히려 기분이 좋아집니다 밀크티 치즈와플도 맛있었구요@@커피도 맛있는데 디저트가 진짜예요 테이크아웃으로 바나나브레드 한입 먹어보고 춤출뻔했어요@@커피가 맛있어요. 넓은 공간에 음악도 좋고 책이 있어서 시간 보내다 가기 괜찮네요 :) 토스트랑 크로플, 스프도 맛있었습니다@@@@신촌에서 hip과 감성을 느끼고 싶다? 주저말고 벤커스로 향하시길@@@@사장님!?이신지 직원분이신지 엄청 세심하고 친절하게 해주세요! 커피버터는 처음인데 바나나 브레드랑 너무 잘어울리고 맛있었습니다 :) 커피도 좋아요 공간도 넓고 예뻤습니당 !@@롱블랙 산미 푸르티 최고다@@@@옛날에 갔는데 응대도 친절하게 잘해주시고 다른 것 보다 정말 맛있음. 좌석이 불편한 것이 유일한 흠. @@직원분들 모두가 넘친절하고 스프 맛있어여  같이 나오는 빵하고 과자도 맛있어여  커피도 진해용@@사장님이 젠틀하시고 친절하시고 카페 분위기가 좋아요! 크로플 맛집!! @@최고예요! 굿굿@@일하시는분들도 친절하고 버섯수프 싼데 진심 존맛 !!@@@@커피랑 바나나파운드 맛나용@@공간은 좋지만 커피맛은 생각보단 무난!@@알바생 언니가 라테아트 너무 기가막히게 해주셔서 감탄하고 갑니다!!  @@맛도 분위기도 신촌 최고의 카페(ღˇ◡ˇ*)♡@@@@@@신촌 카페의 대발견 깔끔한 커피맛과 넓은 공간까지 마음에 드는 곳  2020.06.18@@한국 커피 중에 최고!!! 맨날갈고에오@@진짜 신촌카페중에 최고@@우리동네 핫플! 커피에 수제 쿠키 강추!!! 앞으로도 계속 오게 될 것 같아요~^^^^@@신촌에 이런카페가 생기다니 감격스럽네요!@@커피도 맛있고, 빵도 맛있네요~ 색다른 분위기에서 커피 한 잔~@@"
스타벅스 홍제역점,커피전문점,1522-3232,서대문구,통일로 451 (우)03636,#카카오페이,3.5,19,"@@마스크 안 쓰는 놈들 주의 좀 줘라 2층 홀관리는 아예 안함? 1층 홀이 있는 것도 아니고  스벅중에  하위권인 것 같음 관리가 굉장히 잘되는 느낌도 아니고 인근 스벅이 이것밖에 없어서 사람들이 오는 느낌@@가끔 올때마다 느끼는 부분인데 직원분들 고생은 하시나... 팀웍 안맞고  불친절한분 가끔 계심...  주문순서에 안맞게 나보다 뒤에 손님들 먼저 나가는 경우가 많아서 한참 기다릴때도 많음@@항상 친절한 응대 감사합니다!@@@@아직 계시는지 모르겠는데.. 엄청 친절한 남자 직원분 계세요 ㅎㅎ 그 분이 응대해주시면 그 날 하루 기분이 너무 좋아요@@너무 정신없고 별로에요 ㅜㅜ@@저한테 뭐 특별히 친절햇던건 없지만 얘기하는거 보는데 직원분들이 모두 다 친절하셔서 기분좋게 커피 주문햇네요~@@사람은 정말 많고 ㅠㅠ 환기는 안해서 오래는 못있겠네요@@9/28 근무한 안경 안 쓴 남자 직원 친절 무슨일인가요. 옆테이블 음료 쏟은 고객한테도 친절하고, 제가 불편한 부분 얘기했는데 바로 조치해주시네요. 역대 본 스벅 직원 중에 제일 친절하신듯@@친절하고 깨끗해요~@@친절하고 좋아요 근데 카공족 많아서 그른지 자리 차지하기 힘듦@@사람 엄청 많고 시끄러움. 항상 자리 없어서 주문 전에 자리 확인해야됨.  옆 테이블에서 소개팅도 하던데, 거리가 너무 가까워서 3명이서 소개팅하는 기분  특정 직원이 만드는 음료는 이상하게 맛없음.  @@매번  느끼지만  너무  불친절하다.  오더하는  동안  느끼는  말투와  눈빛의 불쾌함..  가장  최악의   스벅매장이다. @@좋긴 개뿔 카공족들만 바글바글  땀냄새 쩔고 커피맛도 별로임  전국 평균 스벅중 중하위권 정도 레벨임@@최고에요~!@@@@@@@@"
소담식당,이탈리안,070-8152-1177,서대문구,연세로4길 21 (우)03777,#데이트코스#소개팅#제로페이,4.0,42,"소담식당이라는 이름과 어울리게 내부가 아담해요. 맛도 나쁘지 않아요!@@작년에 기대 안 하고 갔다가 잘먹고옴 트러플 너무 좋아,,@@@@오픈키친인데 마스크 안쓰고 요리하심@@블루베리 피자 제가 먹어본 피자중에 가장 독특하고 가장 맛있었어요. 치즈랑 블루베리가 신기하게 잘 어울리네요? 별 생각 안 하고 시켰는데 성공@@@@진짜 너무 맛있어요ㅠㅠ피칸테파스타는 걍 미쳤네요 트러플 좋아하시면 무조건 시키세요. 직원분도 친절하시고!!또 먹고싶다 하@@@@맛있는데 약간 달아요! 그래도 사케동 먹을려면 신촌에선 여기만한데가 없음ㅠ@@킹정합니다 파스타 진짜 잘 먹고 갑니다.@@어제 갔는데 주문 하겟다고 부르니까 안오셔서 주방 쪽으로 가니까 부르면 주문 도와드리겠다고 해서 빠꾸당함… (일단 제 목소리가 작았나 봄) 주방 갔을 때 블루베리 피자 만드시는 거 같았는데 블루베리 토핑 깔 때 맨손으로 만지시더라구요…?  마지막 계산 할 때도 싱크대에서 그냥 물로만 손세척하고 계산 도와주시는데 위생상 좀 신경쓰임…  결론 : 맛은 있으나 ...@@맛있어요 감베리+블루베리피자=최고@@맛있게 잘 먹었어요@@대존맛 맛집...♡ 신촌 사케동집중 가장 맛있어요ㅎㅎ 가면 꼭 육회사케동이랑 블루베리 피자 시켜먹으세요@@불친절 끝판왕.  들어가자마자 뭐 잘못한 줄 알았네.. 맛있으면 그나마 좀 봐줄라 했더니만 맛도 내가 그것보다 잘 만들겠다.. 스파게티 학교 급식으로 먹던 스파게티랑 맛 똑같음@@알바생 전부 너무 불친절해서 기분나쁜 정도고요 맛도 진짜..집에서 만드는게 훨씬 맛있을 것 같아요 평점이 왜 이렇게 높은지 절대 이해 안가는 곳..@@전체적으로 다 맛있어요! 신촌에 몇 안 되는 인스타 감성(?) 맛집이라 웨이팅이 좀 있습니다,,@@@@피자1 파스타2 먹었는데 맛있다 근데 양이 좀 많이 적다 커플 둘이서 배불리 머그려면 3개는 시켜야함@@괜찮아요@@다음에 또 올게요.....@@아마트리치아나 먹으면 먹을수록 매콤해져서 개인적으로 좋았음. 피칸테는 트러플같은 묵직한 파스타 좋아하시는 분들이라면 좋아할 재질. 시간 지나면 약간 꾸덕해짐. 분위기 좋음! 커플들도 많이 옴. 재방문 의사 있음@@@@직원분들 바뀐 후로 맛이나 퀄리티가 예전만 못함 그래도 맛있더라~ 고르곤졸라피자 피칸테파스타 먹어줘야함@@오픈시간에 맞춰 가니 웨이팅은 없었지만 식사 다 하고 보니 밖에 줄이 길었어요 양은 두명이서 파스타, 피자 하나씩 주문하면 꽤 적당한 것 같아요~블루베리 피자의 달콤함!+피칸테 매콤함 이 조화가 정말 맛있네요 :)@@양 적어서 밖에 나가서 2차전 했어요ㅠㅜㅠ 피칸테파스타는 맛 특이해요 맛있었어요! 음식 나오는데는 조금 시간 걸리는 편이구요! 혼밥하시는분도 있더라구요~  아기자기한 분위기로는 짱@@맛은 있었지만 요리하는 분과 서버 분 모두 마스크를 착용하지 않으셔서 너무 찝찝했네요ㅠ 이런 시기에는 더 조심해야 하지 않을까요..@@장어덮밥이 존맛탱! 블루베리피자는 궁금해서 시도해봤는데 식사로는 좀 애매한것같아요 에피타이저 또는 디저트같은 느낌..? 특이해서(좋은의미로) 한번쯤 시도해볼만은 합니다! 월요일 점심 방문이었는데도 웨이팅이 조금 있었네요 하지만 가치있었어요@@크림파스타랑 블루베리피자 너무맛있었어요..!강추강추 하지만 가격이 좀 있고 테이블5개라서 웨이팅도 있는편 입니다 참고하세요!  +개인적으로 분위기가좋고 대접받는느낌이라 웨이팅,가격감안해도 저는 또 갈것같아요@@맛은 그냥저냥인듯 크림맛이 시판느낌이 날 것 같으면서 아닌것같은 묘한 맛  근데 푸짐하고 양도 많고 소스도 많이 주는건 좋았음 브레이크타임 따로 없는것도 좋았음 인테리어도 예쁜데 냄새가 나서 먹는데 방해됐음 두 번 가진 않을듯@@"
고릴라,"육류,고기",02-312-3541,서대문구,충정로 22-2 (우)03742,#점심식사,3.7,30,"맛은좋았지만 @@@@불판실화인가@@맛있다@@손님이 지 발아래에 있는듯한 불친절한 태도. 멀리서 저길 찾아간 내가 원망스러웠다.@@죽이는 맛. 위생까지 챙겨주신다면 베스트@@그토록 고대했던 모서리살은 기대이하였지만 평타는 한다. 하지만 일부러 찾아갈만한 이유는 없다.@@장사 잘되는 집. 테이블이 다닥다닥이라 최근엔 방문 안해서...@@철근 불판 왜 안바꾸는지@@모서리살이 유명하다지만 전 가브리살이 참 맛나더군요@@@@모서리살 먹고 싶으면 고릴라가 생각나요 고기가 진짜 식감 특이하고 너무 맛있어요 생고기 때깔부터 좋아요@@@@@@숨겨진 허름한 맛집 포스 있는거 인정.  특이한 아이템에 가격부담도 적어서 좋음.  불판은 건강 생각안하고 그냥 만든듯..  불판교체 전까지는 다시 안갈예정.@@맛있어요@@@@맛있어요 !@@전 한번가고 안가요.  기대수준 이하 @@@@모서리 고기를 안다면 여기가 정말 최고 물론 삼각지에도 최고가 하나있다@@가브리와 모서리@@@@@@항정살은 여기가 최고~~  된장찌게도 굿~~@@@@맛난 고기를 먹을 수 있는 곳. 단, 심혈을 기울여 적당히 잘 구워야 함.@@@@been@@@@"
멘야산다이메 연희점,일본식라면,02-336-4129,서대문구,연희로 81-5 평화빌딩 1층 2호 (우)03708,#안심식당#혼밥#제로페이,3.6,22,"딱 무난한 맛 그 이상 그 이하도 아닌@@딱 위치만 메리트가 있는 집이다. 마제소바는 먹을만한 편이고, 맛을 기대한다면 힘들 듯@@마제조으다요. 가성비 좋은집 굿@@맛이가별로다@@무난하다. 먹고나서 기분이 나쁘지는 않지만 연희동의 유일한 라멘집이라 위치때매 가게되는 곳.@@저녁에 가끔가는데 면이 쫄깃하고 맛있어요@@대학로와 달리 면이 세면이다@@처음 먹었을땐 느끼했는데, 2번 3번 가니까 맛있네요.  저는 기본이 가장 맛있는것 같아요 ㅎㅎ@@재료 조기소진으로 문도 일찍 닫아 기대했는데 생각보단 평범@@맛있다@@라면이 맛있긴 한데 국물 염도는 낮춰서 드시길..! 너무 짰어요 8ㅅ8.. 그리고 일본말로 인사해주시는거 저는 넘넘 오글거렸...@@이런거 잘 안남기는데 맛도 너무 좋고 접객이 훌륭해서 남겨요! 주방에계신 남자직원분이나 홀에계신 직원분들 모두 너무 친절하시네요 !! 다만 아사히생맥주 전용잔에 안나와서 좀 아쉬웠어요ㅜ 이것만 개선되면 다음에 또 라멘에 생맥주 먹으러 갈것같아요 잘 먹었어요 ㅎㅎ @@개 오지는 맛 지리고 오지고 씹고 뜯고 맛보고 즐기고 앞구르기 뒷구르기 풍차돌기 상모돌리기 ㅇㅈ ㅇ ㅇㅈ입니다 일단 교자 육즙이 최고이며 가라아게 크기가 케이에프씨 수준으로 크고 맛있습니다 라멘 국물도 너무 좋아요@@읭 여기 저렴하고 양도 많고 맛있는데 평점이 별로 안좋네요ㅠ 돈코츠라멘 국물 진한데도 다른데 비해 안느끼해서 너무 좋아요ㅠㅠ 직원분들도 다 친절했어요! 가라아게도 한조각 크기 웬만한 닭다리 크기임 혜자ㅜㅜ@@무난하게 먹기 좋음 가격대비 맛도 괜찮은 편@@@@맛 없어요. 조미료맛이 너무 티나더라.@@맛 없어요. 단호히 말합니다. 돈코츠랑 츠케멘 다 맛 없어요.@@@@@@ 영업의 기본이 안되있는 집입니다. 저보다 훨씬 늦게 들어온 손님에게 먼저 주는 것 까지는 이해 할 수 있습니다 . 그것이 7그릇이나요! 참을 수 있었습니바. 그런데 제가 이의를 제기하자 그제서야 무엇을 주문 하냐고 물었습니다 이게 말이 됩니까. 손님이 한시간째 앉아 있으면 저 테이블 주문이 무엇인지는 당연히 인지해야 하는 것아닙니까?@@굿굿@@"
